[0x0000487c] | UI.MenuBar           | WARN  | 2020-06-26 16:26:07,671 | Plugged In Action [fusion_menu3_triggered()] is owned by [0000017708B1D510]
[0x0000487c] | UI.MenuBar           | WARN  | 2020-06-26 16:26:07,671 | Plugged In Action [fusion_menu5_triggered()] is owned by [0000017708B1D510]
[0x0000487c] | UI.MenuBar           | WARN  | 2020-06-26 16:26:07,671 | Plugged In Action [fusion_menu8_triggered()] is owned by [0000017708B1D510]
[0x0000487c] | UI.MenuBar           | WARN  | 2020-06-26 16:26:07,671 | Plugged In Action [workspace_sub1_menu1_triggered()] is owned by [0000017708B1D510]
[0x0000487c] | ControlPanel         | INFO  | 2020-06-26 16:26:07,728 | Switched Control Panel to mode Primary YSFX
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:26:07,913 | RED rocket decode has been disabled in the config file
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:08,168 | Failed to find value '0' in combo-box
[0x0000487c] | SyManager.DeckLink   | ERROR | 2020-06-26 16:26:08,172 | Failed to create instance.
[0x0000487c] | SyManager.Signals    | INFO  | 2020-06-26 16:26:18,614 | Current user pointer is changed
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:18,634 | UI Persistence - UseDisplayNameForClips not read
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:18,635 | UI Persistence - DefaultTransitionKey not read
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:18,635 | UI Persistence - DefaultAudioTransitionKey not read
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,421 | Failed to find value '14' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,432 | Failed to find value '0' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,473 | Failed to find value '1' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,474 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,474 | Failed to find value '122' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,475 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,475 | Failed to find value '78' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,476 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,477 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,483 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,484 | Failed to find value '1' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,484 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,485 | Failed to find value '0' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:19,486 | Failed to find value '8198' in combo-box
[0x0000487c] | SyManager.Gallery    | INFO  | 2020-06-26 16:26:19,553 | Start purging still caches
[0x0000487c] | SyManager.Gallery    | INFO  | 2020-06-26 16:26:19,553 | Finish purging still caches
[0x0000487c] | SyManager.Signals    | INFO  | 2020-06-26 16:26:19,658 | Main view page is changed to 12
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:19,750 | Gallery pointer is changed, refreshing color gallery
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:19,782 | Gallery pointer is changed, refreshing gallery browser
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:19,988 | Reset gallery path to C:\Users\hp user\resolve-work-area\.gallery after importing
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:20,000 | Reset capture path to C:\Users\hp user\resolve-work-area\Capture after importing
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:20,000 | Importing stills
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:20,000 | There is no stills sub folder, skipping still import
[0x0000487c] | DbCommon2            | INFO  | 2020-06-26 16:26:20,003 | Initializing fresh database {047444bb-98a1-4b26-b88a-cb03e6e03bad}
[0x0000487c] | SyManager.ActionExecutor | INFO  | 2020-06-26 16:26:21,205 | Database transaction is ongoing, user initiated action Sync Asset Map is postponed
[0x0000487c] | SyManager.ActionExecutor | INFO  | 2020-06-26 16:26:21,229 | Database transaction completed, enqueueing 1 postponed actions
[0x0000487c] | SyManager.Gallery    | INFO  | 2020-06-26 16:26:21,245 | Finished saving HiddenView to database (size = 0)
[0x0000487c] | SyManager.Gallery    | INFO  | 2020-06-26 16:26:21,245 | Finished clearing HiddenView (size = 0)
[0x0000487c] | SyManager.Project    | INFO  | 2020-06-26 16:26:21,288 | Unlock project Untitled Project
[0x0000487c] | SyManager.ProjectManager | INFO  | 2020-06-26 16:26:21,289 | Loading project (sisters ep 1) from database (Local Database) took 310 ms
[0x00002a64] | GPUManager           | INFO  | 2020-06-26 16:26:21,347 | Flushing GPU memory...
[0x0000487c] | SyManager            | INFO  | 2020-06-26 16:26:21,401 | Invalidated optimized media for project (sisters ep 1) because sequence cache path directory (C:\Users\hp user\resolve-work-area\CacheClip\712b2ba7-4db0-4e2e-b0ff-158099178a87\OptimizedMedia) is empty.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,080 | Failed to find value '14' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,084 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,085 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,085 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,087 | Failed to find value '8198' in combo-box
[0x000051c8] | IO.Audio             | ERROR | 2020-06-26 16:26:22,101 | Failed to decode clip <C:\Users\goldt\Downloads\Sisters_of_The_Middle_Sun_Episode_1_b0t8r.mp3>, track: 0, position: 57983948 - Failed to read the audio samples from disk.
[0x00004d48] | IO.Audio             | ERROR | 2020-06-26 16:26:22,101 | Failed to decode clip <C:\Users\goldt\Downloads\Sisters_of_The_Middle_Sun_Episode_1_b0t8r.mp3>, track: 0, position: 57983948 - Failed to read the audio samples from disk.
[0x00004d48] | IO.Audio             | ERROR | 2020-06-26 16:26:22,102 | Failed to decode clip <C:\Users\goldt\Downloads\Sisters_of_The_Middle_Sun_Episode_1_b0t8r.mp3>, track: 0, position: 57984150 - Failed to read the audio samples from disk.
[0x000051c8] | IO.Audio             | ERROR | 2020-06-26 16:26:22,102 | Failed to decode clip <C:\Users\goldt\Downloads\Sisters_of_The_Middle_Sun_Episode_1_b0t8r.mp3>, track: 0, position: 57984150 - Failed to read the audio samples from disk.
[0x00004d48] | IO.Audio             | ERROR | 2020-06-26 16:26:22,103 | Failed to decode clip <C:\Users\goldt\Downloads\Sisters_of_The_Middle_Sun_Episode_1_b0t8r.mp3>, track: 0, position: 57984352 - Failed to read the audio samples from disk.
[0x000051c8] | IO.Audio             | ERROR | 2020-06-26 16:26:22,104 | Failed to decode clip <C:\Users\goldt\Downloads\Sisters_of_The_Middle_Sun_Episode_1_b0t8r.mp3>, track: 0, position: 57984352 - Failed to read the audio samples from disk.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,134 | Failed to find value '78' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,135 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,135 | Failed to find value '122' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,136 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,137 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,137 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,142 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,143 | Failed to find value '8198' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,144 | Failed to find value '0' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,145 | Failed to find value '8198' in combo-box
[0x0000487c] | SyManager.Gallery    | INFO  | 2020-06-26 16:26:22,153 | Start purging still caches
[0x0000487c] | SyManager.Gallery    | INFO  | 2020-06-26 16:26:22,153 | Finish purging still caches
[0x0000487c] | SyManager.Signals    | INFO  | 2020-06-26 16:26:22,256 | Current project pointer (sisters ep 1) is changed
[0x0000487c] | SyManager.Signals    | INFO  | 2020-06-26 16:26:22,256 | Current timeline pointer (Timeline 1) is changed
[0x0000487c] | SyManager.Signals    | INFO  | 2020-06-26 16:26:22,283 | Main view page is changed to 1
[0x0000487c] | SyManager.Signals    | INFO  | 2020-06-26 16:26:22,379 | Main view page is changed to 2
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,557 | Layout is disabled.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,581 | Layout is disabled.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,587 | UI Persistence - MediaPoolFloatingWindowGeometry not read
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:22,588 | UI Persistence - ConformEdlEffectsLibrary not read
[0x0000487c] | SyManager.Signals    | INFO  | 2020-06-26 16:26:23,558 | Main view page is changed to 2
[0x0000487c] | SyManager            | WARN  | 2020-06-26 16:26:23,619 | No reply received from file system, assume successfully deleted folder C:\Users\hp user\resolve-work-area\Resolve Project Backups\007d0798-e1b8-4cfe-bf7e-2e942f7d9316.
[0x0000487c] | SyManager            | WARN  | 2020-06-26 16:26:23,630 | No reply received from file system, assume successfully deleted folder C:\Users\hp user\resolve-work-area\CacheClip\007d0798-e1b8-4cfe-bf7e-2e942f7d9316.
[0x0000487c] | SyManager            | WARN  | 2020-06-26 16:26:23,641 | No reply received from file system, assume successfully deleted folder C:\Users\hp user\resolve-work-area\.gallery\007d0798-e1b8-4cfe-bf7e-2e942f7d9316.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:24,129 | There is no gallery instance for updating the view
[0x00002a64] | UI.GLContext         | INFO  | 2020-06-26 16:26:24,171 | Creating shared OpenGL context for this thread (5 total).
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:24,266 | Lock project sisters ep 1
